,Unnamed: 0.1,Unnamed: 0,loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets,inc_loan,cibil_bucket,asset_bucket,term_bucket
83,83,83,84,3,Graduate, No,3600000,8600000,20,613,9400000,300000,10300000,3300000,Approved,23300000,0.4186046511627907,600-699,100L-250L,15-20
84,84,84,85,3,Not Graduate, Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000,Approved,25500000,0.3658536585365853,700-799,250L-10C,15-20
85,85,85,86,2,Graduate, No,6800000,21200000,16,439,17100000,4700000,23300000,3600000,Rejected,48700000,0.320754716981132,300-499,250L-10C,15-20
86,86,86,87,5,Not Graduate, Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000,Rejected,7900000,0.2894736842105263,300-499,50L-100L,15-20
87,87,87,88,1,Not Graduate, Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000,Rejected,72100000,0.3074204946996466,300-499,250L-10C,5-10
88,88,88,89,4,Graduate, Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000,Approved,14500000,0.25,800-900,100L-250L,5-10
89,89,89,90,2,Not Graduate, No,9800000,37600000,10,641,24100000,0,23400000,7600000,Approved,55100000,0.2606382978723404,600-699,250L-10C,5-10
90,90,90,91,4,Graduate, No,5700000,21100000,18,489,500000,4300000,12500000,6000000,Rejected,23300000,0.2701421800947867,300-499,100L-250L,15-20
91,91,91,92,4,Graduate, No,8800000,20700000,18,540,19200000,3200000,22400000,12700000,Rejected,57500000,0.4251207729468599,500-599,250L-10C,15-20
92,92,92,93,4,Graduate, No,3800000,8900000,4,844,9100000,3500000,13100000,4700000,Approved,30400000,0.4269662921348314,800-900,250L-10C,0-5
93,93,93,94,1,Graduate, No,1700000,6400000,10,452,900000,1100000,5600000,2100000,Rejected,9700000,0.265625,300-499,50L-100L,5-10
94,94,94,95,2,Graduate, No,1000000,2000000,10,366,1200000,400000,3200000,1300000,Rejected,6100000,0.5,300-499,50L-100L,5-10
95,95,95,96,5,Graduate, No,300000,1100000,2,300,100000,500000,700000,400000,Approved,1700000,0.2727272727272727,,10L-50L,0-5
96,96,96,97,2,Graduate, Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000,Rejected,31200000,0.44,300-499,250L-10C,15-20
97,97,97,98,2,Not Graduate, No,8700000,25000000,20,861,14700000,8500000,23200000,7300000,Approved,53700000,0.348,800-900,250L-10C,15-20
98,98,98,99,4,Graduate, No,9400000,29400000,12,562,25900000,15200000,36400000,7100000,Approved,84600000,0.3197278911564626,500-599,250L-10C,10-15
99,99,99,100,0,Graduate, No,4400000,10800000,14,463,2400000,4800000,13800000,4700000,Rejected,25700000,0.4074074074074074,300-499,250L-10C,10-15
100,100,100,101,4,Not Graduate, No,400000,900000,12,478,700000,100000,1200000,100000,Rejected,2100000,0.4444444444444444,300-499,10L-50L,10-15
101,101,101,102,2,Not Graduate, Yes,300000,1100000,2,702,300000,200000,500000,200000,Approved,1200000,0.2727272727272727,700-799,10L-50L,0-5
102,102,102,103,2,Not Graduate, Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000,Approved,28800000,0.3333333333333333,600-699,250L-10C,15-20
103,103,103,104,4,Graduate, No,1600000,4500000,12,633,700000,1700000,4100000,1900000,Approved,8400000,0.3555555555555555,600-699,50L-100L,10-15
104,104,104,105,5,Not Graduate, Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000,Rejected,61300000,0.2627118644067797,300-499,250L-10C,5-10
105,105,105,106,3,Not Graduate, Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000,Approved,29900000,0.4329896907216495,800-900,250L-10C,15-20
106,106,106,107,4,Not Graduate, Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000,Approved,49500000,0.4972375690607735,700-799,250L-10C,10-15
107,107,107,108,0,Graduate, No,2700000,10600000,6,591,1300000,2700000,9900000,1800000,Approved,15700000,0.2547169811320754,500-599,100L-250L,5-10
108,108,108,109,1,Graduate, Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000,Approved,58500000,0.2701949860724233,700-799,250L-10C,0-5
109,109,109,110,2,Graduate, No,3300000,6800000,14,317,3400000,300000,11700000,3600000,Rejected,19000000,0.4852941176470588,300-499,100L-250L,10-15
110,110,110,111,0,Not Graduate, No,300000,1100000,8,778,800000,200000,900000,100000,Approved,2000000,0.2727272727272727,700-799,10L-50L,5-10
111,111,111,112,3,Graduate, Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000,Rejected,31600000,0.4065934065934066,300-499,250L-10C,10-15
112,112,112,113,5,Not Graduate, No,7100000,19700000,8,502,7300000,5600000,25300000,9800000,Rejected,48000000,0.3604060913705584,500-599,250L-10C,5-10
113,113,113,114,5,Not Graduate, Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,Approved,59200000,0.3303167420814479,800-900,250L-10C,15-20
114,114,114,115,1,Not Graduate, No,8400000,23400000,14,437,15400000,5800000,33400000,8100000,Rejected,62700000,0.358974358974359,300-499,250L-10C,10-15
115,115,115,116,0,Not Graduate, Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000,Approved,17600000,0.3055555555555556,700-799,100L-250L,10-15
116,116,116,117,4,Not Graduate, Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000,Rejected,50400000,0.25,300-499,250L-10C,15-20
117,117,117,118,0,Not Graduate, No,600000,1600000,6,647,1500000,600000,1500000,700000,Approved,4300000,0.375,600-699,10L-50L,5-10
118,118,118,119,0,Not Graduate, No,7200000,15800000,12,379,12700000,12200000,21500000,3600000,Rejected,50000000,0.4556962025316455,300-499,250L-10C,10-15
119,119,119,120,1,Not Graduate, Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000,Approved,33700000,0.2765957446808511,700-799,250L-10C,0-5
120,120,120,121,5,Graduate, No,900000,2300000,16,545,100000,200000,2700000,800000,Rejected,3800000,0.391304347826087,500-599,10L-50L,15-20
121,121,121,122,2,Graduate, No,800000,3200000,8,317,300000,1000000,2000000,900000,Rejected,4200000,0.25,300-499,10L-50L,5-10
122,122,122,123,1,Not Graduate, No,8500000,32900000,10,570,5100000,6200000,20500000,5500000,Approved,37300000,0.2583586626139817,500-599,250L-10C,5-10
123,123,123,124,0,Not Graduate, Yes,9000000,18700000,18,865,26800000,0,20900000,11300000,Approved,59000000,0.481283422459893,800-900,250L-10C,15-20
124,124,124,125,3,Graduate, No,7000000,19500000,14,719,12200000,10300000,18200000,10200000,Approved,50900000,0.358974358974359,700-799,250L-10C,10-15
125,125,125,126,3,Graduate, No,200000,600000,16,821,400000,100000,500000,100000,Approved,1100000,0.3333333333333333,800-900,10L-50L,15-20
126,126,126,127,4,Not Graduate, Yes,400000,800000,10,859,900000,500000,800000,200000,Approved,2400000,0.5,800-900,10L-50L,5-10
127,127,127,128,3,Not Graduate, No,5100000,18200000,10,395,100000,8000000,15500000,6300000,Rejected,29900000,0.2802197802197802,300-499,250L-10C,5-10
128,128,128,129,2,Not Graduate, Yes,700000,2600000,12,429,1600000,1300000,2700000,800000,Rejected,6400000,0.2692307692307692,300-499,50L-100L,10-15
129,129,129,130,3,Graduate, No,400000,1200000,12,861,200000,600000,1100000,200000,Approved,2100000,0.3333333333333333,800-900,10L-50L,10-15
130,130,130,131,0,Not Graduate, Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000,Approved,74300000,0.4567307692307692,500-599,250L-10C,10-15
131,131,131,132,5,Graduate, No,8800000,22600000,10,357,7900000,8600000,18200000,4900000,Rejected,39600000,0.3893805309734513,300-499,250L-10C,5-10
132,132,132,133,3,Not Graduate, Yes,1800000,3600000,18,465,600000,500000,5400000,2600000,Rejected,9100000,0.5,300-499,50L-100L,15-20
133,133,133,134,4,Not Graduate, Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000,Rejected,56100000,0.4892086330935252,300-499,250L-10C,5-10
134,134,134,135,3,Not Graduate, No,1500000,5500000,16,717,2100000,800000,4400000,1300000,Approved,8600000,0.2727272727272727,700-799,50L-100L,15-20
135,135,135,136,3,Graduate, No,1600000,5500000,12,425,600000,800000,5400000,900000,Rejected,7700000,0.2909090909090909,300-499,50L-100L,10-15
136,136,136,137,2,Not Graduate, No,4600000,16700000,2,786,200000,5900000,13900000,6100000,Approved,26100000,0.2754491017964072,700-799,250L-10C,0-5
137,137,137,138,5,Not Graduate, Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000,Rejected,15400000,0.3283582089552239,300-499,100L-250L,5-10
138,138,138,139,3,Not Graduate, Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,Approved,13400000,0.3411764705882353,500-599,100L-250L,10-15
139,139,139,140,0,Graduate, No,200000,700000,8,501,500000,200000,700000,100000,Rejected,1500000,0.2857142857142857,500-599,10L-50L,5-10
140,140,140,141,2,Not Graduate, Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000,Approved,23500000,0.2659574468085106,700-799,100L-250L,5-10
141,141,141,142,4,Not Graduate, No,3600000,7500000,6,894,1100000,6500000,7400000,2800000,Approved,17800000,0.48,800-900,100L-250L,5-10
142,142,142,143,0,Graduate, Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000,Approved,25500000,0.3293413173652694,800-900,250L-10C,15-20
143,143,143,144,4,Not Graduate, No,6600000,17400000,20,506,2600000,10000000,25900000,7200000,Rejected,45700000,0.3793103448275862,500-599,250L-10C,15-20
144,144,144,145,2,Graduate, Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000,Approved,60400000,0.2679127725856697,800-900,250L-10C,5-10
145,145,145,146,5,Not Graduate, No,600000,1500000,14,543,300000,900000,2100000,300000,Rejected,3600000,0.4,500-599,10L-50L,10-15
146,146,146,147,3,Graduate, Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000,Approved,10000000,0.4375,700-799,100L-250L,15-20
147,147,147,148,3,Graduate, No,4000000,11100000,12,572,9700000,100000,12500000,2400000,Approved,24700000,0.3603603603603603,500-599,100L-250L,10-15
148,148,148,149,0,Not Graduate, Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000,Approved,37800000,0.4117647058823529,700-799,250L-10C,15-20
149,149,149,150,5,Graduate, No,2000000,6200000,18,402,4000000,2100000,7200000,1100000,Rejected,14400000,0.3225806451612903,300-499,100L-250L,15-20
150,150,150,151,1,Not Graduate, Yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000,Rejected,46800000,0.2694300518134715,300-499,250L-10C,5-10
151,151,151,152,5,Graduate, Yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000,Approved,47900000,0.3090277777777778,700-799,250L-10C,5-10
152,152,152,153,1,Graduate, Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000,Approved,39100000,0.3155339805825243,300-499,250L-10C,0-5
153,153,153,154,2,Not Graduate, No,1300000,4500000,6,415,0,900000,2900000,1200000,Rejected,5000000,0.2888888888888888,300-499,50L-100L,5-10
154,154,154,155,3,Not Graduate, No,9400000,35000000,16,548,18200000,4400000,36100000,4800000,Rejected,63500000,0.2685714285714285,500-599,250L-10C,15-20
155,155,155,156,5,Not Graduate, No,5000000,11200000,8,701,9100000,500000,14000000,4600000,Approved,28200000,0.4464285714285714,700-799,250L-10C,5-10
156,156,156,157,2,Graduate, No,3000000,7700000,12,890,4700000,4300000,8400000,2100000,Approved,19500000,0.3896103896103896,800-900,100L-250L,10-15
157,157,157,158,5,Not Graduate, Yes,9900000,33300000,6,364,5300000,18700000,27800000,8300000,Rejected,60100000,0.2972972972972973,300-499,250L-10C,5-10
158,158,158,159,5,Graduate, Yes,700000,1300000,20,704,1600000,0,2200000,600000,Approved,4400000,0.5384615384615384,700-799,10L-50L,15-20
159,159,159,160,3,Graduate, Yes,4000000,10600000,10,318,1500000,5100000,8000000,4900000,Rejected,19500000,0.3773584905660377,300-499,100L-250L,5-10
160,160,160,161,5,Not Graduate, No,3100000,9600000,2,761,5800000,1800000,10400000,4200000,Approved,22200000,0.3229166666666667,700-799,100L-250L,0-5
161,161,161,162,4,Not Graduate, No,4500000,15100000,6,693,3700000,1500000,17800000,6000000,Approved,29000000,0.2980132450331126,600-699,250L-10C,5-10
162,162,162,163,3,Not Graduate, No,9700000,20600000,16,524,24200000,11100000,27400000,6100000,Rejected,68800000,0.470873786407767,500-599,250L-10C,15-20
163,163,163,164,2,Not Graduate, Yes,2000000,5300000,10,681,4900000,1400000,4300000,2900000,Approved,13500000,0.3773584905660377,600-699,100L-250L,5-10
164,164,164,165,2,Graduate, Yes,8100000,22300000,18,737,22300000,12600000,27000000,7300000,Approved,69200000,0.3632286995515695,700-799,250L-10C,15-20
165,165,165,166,0,Not Graduate, No,5700000,15900000,16,638,100000,9500000,16300000,4500000,Approved,30400000,0.3584905660377358,600-699,250L-10C,15-20
166,166,166,167,4,Not Graduate, No,5800000,12800000,2,656,500000,5000000,16000000,2800000,Approved,24300000,0.453125,600-699,100L-250L,0-5
167,167,167,168,1,Graduate, No,1800000,6500000,6,540,2500000,3200000,5000000,1100000,Rejected,11800000,0.2769230769230769,500-599,100L-250L,5-10
168,168,168,169,4,Not Graduate, Yes,9100000,35200000,6,341,1000000,300000,23100000,8200000,Rejected,32600000,0.2585227272727273,300-499,250L-10C,5-10
169,169,169,170,0,Not Graduate, Yes,4800000,17500000,2,371,11700000,6800000,18700000,3500000,Approved,40700000,0.2742857142857143,300-499,250L-10C,0-5
170,170,170,171,3,Not Graduate, Yes,3800000,10500000,12,886,4000000,500000,14900000,2300000,Approved,21700000,0.3619047619047619,800-900,100L-250L,10-15
171,171,171,172,0,Not Graduate, No,1900000,4100000,18,801,400000,800000,4800000,1200000,Approved,7200000,0.4634146341463415,800-900,50L-100L,15-20
172,172,172,173,3,Not Graduate, Yes,3600000,9500000,16,748,7700000,2400000,9700000,2600000,Approved,22400000,0.3789473684210526,700-799,100L-250L,15-20
173,173,173,174,2,Not Graduate, Yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000,Rejected,49500000,0.2624113475177305,300-499,250L-10C,5-10
174,174,174,175,4,Not Graduate, Yes,6600000,14300000,8,371,10800000,9500000,18500000,7400000,Rejected,46200000,0.4615384615384615,300-499,250L-10C,5-10
175,175,175,176,2,Graduate, No,1800000,5300000,6,826,4500000,700000,6500000,1300000,Approved,13000000,0.3396226415094339,800-900,100L-250L,5-10
176,176,176,177,4,Not Graduate, No,9200000,27200000,12,873,4500000,1800000,33800000,11400000,Approved,51500000,0.3382352941176471,800-900,250L-10C,10-15
177,177,177,178,5,Not Graduate, Yes,2400000,8600000,8,309,500000,600000,5700000,2800000,Rejected,9600000,0.2790697674418604,300-499,50L-100L,5-10
